Author	n (strains)	publication title	journal	publication URL	strains
Wu et al	1	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	unknown	unknown	Wuhan-Hu-1/2019
Zhang et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/SH01/2020, complete genome	unknown	unknown	CHN/SH01/2020
Bastola et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NPL/61-TW/2020, complete genome	unknown	unknown	NPL/61-TW/2020
Hunter et al	1	Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: whole_genome	unknown	unknown	Wuhan/WH01/2019
Caly et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/SA04/2020, complete genome	unknown	unknown	AUS/SA04/2020
Caly et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/SA03/2020, complete genome	unknown	unknown	AUS/SA03/2020
Yadav et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/29/2020, complete genome	unknown	unknown	IND/29/2020
Seemann et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC14/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	AUS/VIC14/2020
Zhang et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-03041142-001/2020, complete genome	unknown	unknown	USA/WI-CDC-03041142-001/2020
Bengner et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SWE/01/2020, complete genome	unknown	unknown	SWE/01/2020
Seemann et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC03/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	AUS/VIC03/2020
Leung et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/61_0202/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	HongKong/61_0202/2020
Rodpan et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/THA/SI202769-NT/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	THA/SI202769-NT/2020
Li et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KHM/Kunming_kms-2/2020, complete genome	unknown	unknown	KHM/Kunming_kms-2/2020
Nguyen et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-DFS-PHL-0016/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/DC-DFS-PHL-0016/2020
Piantadosi et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-EHC-264F/2020, complete genome	unknown	unknown	USA/GA-EHC-264F/2020
Tao et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC-CDC-03067508-001/2020, complete genome	unknown	unknown	USA/SC-CDC-03067508-001/2020
Rosenthal et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-QDX-2442/2020, complete genome	unknown	unknown	USA/GA-QDX-2442/2020
Babiker et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-EHC-033G/2020, complete genome	unknown	unknown	USA/GA-EHC-033G/2020
Szemiel et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GBR/DMSOp13.5/2020, complete genome	unknown	unknown	GBR/DMSOp13.5/2020
Baggen et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BEL/GHB-03021/2020, complete genome	unknown	unknown	BEL/GHB-03021/2020
Kim et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KOR/KCDC03/2020, complete genome	unknown	unknown	KOR/KCDC03/2020
Seo et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KOR/CNUHV03-CA22/2020, complete genome	unknown	unknown	KOR/CNUHV03-CA22/2020
Fox et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA1_calu3_stock/2020, complete genome	unknown	unknown	USA/WA1_calu3_stock/2020
Nickerson et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-S2/2020, complete genome	unknown	unknown	USA/WA-S2/2020
Sait et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/TAS145/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	AUS/TAS145/2020
Ren et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/20CV0266/2020, complete genome	unknown	unknown	NZL/20CV0266/2020
Roychoudhury et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-1265/2020, complete genome	unknown	unknown	USA/IL-UW-1265/2020
Rosenthal et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-QDX-1113/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/IL-QDX-1113/2020
Sait et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/TAS125/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	AUS/TAS125/2020
Ren et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/20VR2015/2020, complete genome	unknown	unknown	NZL/20VR2015/2020
Ren et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/20VR2034/2020, complete genome	unknown	unknown	NZL/20VR2034/2020
Queen et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VT-CDC-03068154-001/2020, complete genome	unknown	unknown	USA/VT-CDC-03068154-001/2020
Nickerson et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-S123/2020, complete genome	unknown	unknown	USA/WA-S123/2020
Ren et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/20CV0287/2020, complete genome	unknown	unknown	NZL/20CV0287/2020
Bracho et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ESP/Valencia4/2020, partial genome	unknown	unknown	ESP/Valencia4/2020
Loureiro et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/1Z/2020, complete genome	unknown	unknown	VEN/1Z/2020
Direct Submission et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/Santiago-PUC_MVL_0016/2020, complete genome	unknown	unknown	CHL/Santiago-PUC_MVL_0016/2020
