clustername,bootstrap,leafname,branchPath,medianOfDistances,sequencesperCluster
111,0.9999,USA/MA-CDCBI-CRSP_3TZYKU32NPT3LBIK/2022,97.0,9.0,40
111,0.9999,USA/OR-CDC-LC0826455/2022,99.0,9.0,40
111,0.9999,USA/VA-CDC-QDX38830675/2022,102.0,9.0,40
111,0.9999,ZAF/NHLS-UCT-GS-BK44/2022,97.0,9.0,40
111,0.9999,USA/CA-CDC-STM-3Y9RDPFRV/2022,103.0,9.0,40
111,0.9999,USA/NJ-CDC-LC0845137/2022,102.0,9.0,40
111,0.9999,USA/TX-CDC-QDX40270328/2022,101.0,9.0,40
111,0.9999,USA/DC-CDC-QDX39323537/2022,99.0,9.0,40
111,0.9999,USA/TN-CDC-LC0738138/2022,98.0,9.0,40
111,0.9999,USA/VA-VTVAS3-GSC37506/2022,97.0,9.0,40
111,0.9999,USA/KS-CDC-LC0762965/2022,94.0,9.0,40
111,0.9999,USA/WY-CDC-LC0811158/2022,101.0,9.0,40
111,0.9999,USA/KY-CDC-LC0852845/2022,101.0,9.0,40
111,0.9999,USA/CO-CDC-STM-4N7TMGVPV/2022,97.0,9.0,40
111,0.9999,USA/WI-CDC-STM-W4TC9GK6E/2022,100.0,9.0,40
111,0.9999,USA/WV-CDC-LC0839840/2022,96.0,9.0,40
111,0.9999,USA/CA-CDC-LC0733785/2022,97.0,9.0,40
111,0.9999,THA/CONI-3572/2022,101.0,9.0,40
111,0.9999,USA/MT-CDC-LC0822894/2022,100.0,9.0,40
111,0.9999,USA/AR-CDC-QDX40271818/2022,98.0,9.0,40
111,0.9999,USA/DC-CDC-LC0817632/2022,98.0,9.0,40
111,0.9999,USA/MP-CDC-2-6258604/2022,101.0,9.0,40
111,0.9999,USA/ID-CDC-LC0852623/2022,99.0,9.0,40
111,0.9999,USA/GA-CDC-LC0775566/2022,99.0,9.0,40
111,0.9999,USA/NE-CDC-QDX38970166/2022,101.0,9.0,40
111,0.9999,Liechtenstein/FL-Risch-20220802R412910/2022,102.0,9.0,40
111,0.9999,USA/RI-CDC-LC0818587/2022,100.0,9.0,40
111,0.9999,USA/MD-CDC-LC0846017/2022,103.0,9.0,40
111,0.9999,USA/CT-CDC-LC0790476/2022,98.0,9.0,40
111,0.9999,USA/NY-CDC-LC0819804/2022,97.0,9.0,40
111,0.9999,USA/AZ-CDC-STM-2B889MRUA/2022,101.0,9.0,40
111,0.9999,USA/USA_UT-IDEL-20220817081_2022_NC045512.2_consensus/2022,98.0,9.0,40
111,0.9999,BHR/R122690071636/2022,107.0,9.0,40
111,0.9999,USA/NM-CDC-LC0822908/2022,98.0,9.0,40
111,0.9999,USA/AL-CDC-STM-S2X54FTF4/2022,98.0,9.0,40
111,0.9999,USA/2125227/2022,98.0,9.0,40
111,0.9999,BHR/22970277597/2022,104.0,9.0,40
111,0.9999,USA/NV-CDC-QDX37910481/2022,97.0,9.0,40
111,0.9999,USA/S270P43_513863/2022,100.0,9.0,40
111,0.9999,USA/ME-HETL-J16291/2022,97.0,9.0,40
171,0.9999,Liechtenstein/FL-Risch-20220519R11776/2022,98.0,7.0,27
171,0.9999,BHR/22020398324/2022,99.0,7.0,27
171,0.9999,USA/FL-CDC-QDX39413323/2022,99.0,7.0,27
171,0.9999,USA/VT-CDCBI-CRSP_YHJZX5VL6WSZOXVS/2022,100.0,7.0,27
171,0.9999,USA/TN-CDC-LC0795503/2022,98.0,7.0,27
171,0.9999,LAO/LOMWRU-0415/2022,100.0,7.0,27
171,0.9999,LAO/LOMWRU-0426/2022,100.0,7.0,27
171,0.9999,BHR/22020444825/2022,99.0,7.0,27
171,0.9999,USA/OH-CDC-QDX39325249/2022,101.0,7.0,27
171,0.9999,USA/PR-CDC-STM-S4AH9YPAU/2022,104.0,7.0,27
171,0.9999,KEN/C118634/2022,100.0,7.0,27
171,0.9999,USA/NJ-CDC-LC0705778/2022,97.0,7.0,27
171,0.9999,USA/MS-MSPHL-1659/2022,101.0,7.0,27
171,0.9999,USA/WA-CDC-LC0849040/2022,104.0,7.0,27
171,0.9999,USA/MI-CDC-STM-J5SQKDBHS/2022,100.0,7.0,27
