clustername,bootstrap,leafname,branchPath,medianOfDistances,sequencesperCluster
13829,0.9999,USA/VA-VTVAS3-GSC37506/2022,101.5,19.0,293
13829,0.9999,BRA/LACENAL-270226547/2022,98.5,19.0,293
13829,0.9999,USA/IL-CDC-QDX38635388/2022,96.5,19.0,293
13829,0.9999,USA/NM-CDC-LC0777281/2022,99.5,19.0,293
13829,0.9999,FRA/2204V110959/2022,90.5,19.0,293
13829,0.9999,ON929922,100.5,19.0,293
13829,0.9999,USA/ND-CDC-2-5926207/2022,86.5,19.0,293
13829,0.9999,USA/V04692/2022,101.5,19.0,293
13829,0.9999,USA/VT-Broad-CRSP_WEYP6BABZKOOKGWC/2022,84.5,19.0,293
13829,0.9999,USA/ND-CDC-2-6241872/2022,102.5,19.0,293
13829,0.9999,USA/OR-CDC-LC0778683/2022,98.5,19.0,293
13829,0.9999,ITA/SARS-CoV-2humanITATUS-Siena-0435943/2022,93.5,19.0,293
13829,0.9999,LAO/LOMWRU-0435/2022,85.5,19.0,293
13829,0.9999,BGD/Laila_1045/2022,87.5,19.0,293
13829,0.9999,FRA/IHUMI6145/2022,99.5,19.0,293
13829,0.9999,USA/NH-CDC-LC0566362/2022,84.5,19.0,293
13829,0.9999,USA/OH-CDC-QDX37596802/2022,91.5,19.0,293
13829,0.9999,SouthAfrica/NHLS-UCT-GS-BH46/2022,91.5,19.0,293
13829,0.9999,OX148955,89.5,19.0,293
13829,0.9999,OW805951,87.5,19.0,293
13829,0.9999,COL/LIME_4737/2022,96.5,19.0,293
13829,0.9999,KEN/C117649/2022,105.5,19.0,293
13829,0.9999,USA/PA-CDC-STM-MDPX2KWZB/2022,84.5,19.0,293
13829,0.9999,England/LSPA-3F53385/2022,105.5,19.0,293
13829,0.9999,USA/DC-CDC-LC0746949/2022,94.5,19.0,293
13829,0.9999,USA/VI-CDC-2-6241788/2022,101.5,19.0,293
13829,0.9999,BRA/LACENAL-270227105/2022,104.5,19.0,293
13829,0.9999,BHR/22020378588/2022,102.5,19.0,293
13829,0.9999,USA/CA-CDC-LC0691726/2022,94.5,19.0,293
