clustername,bootstrap,leafname,branchPath,medianOfDistances,sequencesperCluster
3919,0.9999,LAO/LOMWRU-0417/2022,34.0,3.0,2
3919,0.9999,LAO/LOMWRU-0424/2022,37.0,3.0,2
3923,0.9999,MEX/UASIPMO1R2.0/2022,30.0,3.0,2
3923,0.9999,USA/FL-CDC-2-6274781/2022,33.0,3.0,2
3935,0.9999,USA/OR-CDC-LC0852507/2022,31.0,4.0,2
3935,0.9999,USA/NM-CDC-LC0823319/2022,31.0,4.0,2
3965,0.9999,USA/VA-VTVAS3-GSC37506/2022,31.0,1.0,2
3965,0.9999,ON929922,30.0,1.0,2
3972,0.9999,USA/CT-CDCBI-CRSP_B7NPN7WE6QYBDUMJ/2022,29.0,2.0,2
3972,0.9999,USA/NJ-CDC-LC0827725/2022,31.0,2.0,2
3995,0.9999,USA/SD-CDC-2-6238797/2022,32.0,4.0,3
3995,0.9999,Denmark/DCGC-528926/2022,33.0,4.0,3
3995,0.9999,USA/KS-CDC-QDX38831385/2022,31.0,4.0,3
4005,0.9999,USA/SD-CDC-2-6210550/2022,30.0,3.0,3
4005,0.9999,Austria/Risch-20220714R12733/2022,33.0,3.0,3
4005,0.9999,Liechtenstein/FL-Risch-20220714R12843/2022,32.0,3.0,3
4014,0.9999,BRA/LACENAL-270227029/2022,33.0,4.0,6
4014,0.9999,BRA/LACENAL-270228646/2022,33.0,4.0,6
4014,0.9999,BRA/LACENAL-270228604/2022,34.0,4.0,6
4014,0.9999,BRA/LACENAL-270228594/2022,32.0,4.0,6
4014,0.9999,BRA/LACENAL-270227097/2022,37.0,4.0,6
4014,0.9999,BRA/LACENAL-270227105/2022,34.0,4.0,6
4029,0.9999,USA/VI-CDC-2-6241788/2022,31.0,4.0,2
4029,0.9999,USA/PR-CDC-STM-8XX9A54GY/2022,31.0,4.0,2
4032,0.9999,USA/NM-CDC-LC0777281/2022,29.0,4.0,7
4032,0.9999,USA/CO-CDC-QDX38633389/2022,30.0,4.0,7
4032,0.9999,USA/LA-CDC-STM-XQASVG5ZZ/2022,31.0,4.0,7
4032,0.9999,BGD/icddrb-TND-04-1538/2022,28.0,4.0,7
4032,0.9999,OP062267,28.0,4.0,7
4032,0.9999,BRA/LACENAL-270228686/2022,29.0,4.0,7
4032,0.9999,BRA/LACENAL-270228603/2022,29.0,4.0,7
4054,0.9999,KEN/SS8012/2022,21.0,0.0,2
4054,0.9999,KEN/SS8014/2022,21.0,0.0,2
4069,0.9999,HongKong/HKU-220326-165/2022,17.0,1.0,2
4069,0.9999,HongKong/HKU-220326-112/2022,16.0,1.0,2
4072,0.9999,HongKong/HKU-220213-058/2022,17.0,4.0,4
4072,0.9999,CHN/O-changhai-2-13-S6/2022,23.0,4.0,4
4072,0.9999,CHN/NBCDC_20220315_HuYibo/2022,21.0,4.0,4
4072,0.9999,CHN/O-changhai-2-43-s28/2022,23.0,4.0,4
4097,0.9999,BRA/LACENAL-270226525/2022,18.0,2.0,2
4097,0.9999,BRA/LACENAL-270226536/2022,18.0,2.0,2
4117,0.9999,TWN/CGMH-CGU-158/2022,20.0,2.0,2
4117,0.9999,TWN/CGMH-CGU-156/2022,20.0,2.0,2
4130,0.9999,DJI/NAMRU3_E521/2022,20.0,0.0,2
4130,0.9999,DJI/NAMRU3_E467/2022,20.0,0.0,2
4155,0.9999,SouthAfrica/NHLS-UCT-GS-BH72/2022,16.0,3.0,2
4155,0.9999,SouthAfrica/NHLS-UCT-GS-BD34/2022,15.0,3.0,2
4164,0.9999,SouthAfrica/NHLS-UCT-GP-O611/2022,25.0,4.0,2
4164,0.9999,ZAF/NHLS-UCT-GS-BL01/2022,27.0,4.0,2
4169,0.9999,SouthAfrica/NHLS-UCT-GP-O807/2022,24.0,2.0,2
4169,0.9999,SouthAfrica/NHLS-UCT-GS-BJ51/2022,22.0,2.0,2
4180,0.9999,THA/CONI-3513/2022,25.0,4.0,7
4180,0.9999,OX298967,28.0,4.0,7
4180,0.9999,ZAF/NHLS-UCT-GP-O866/2022,22.0,4.0,7
4180,0.9999,BRA/LACENAL-270228606/2022,23.0,4.0,7
4180,0.9999,USA/HI-CDC-QDX39658202/2022,23.0,4.0,7
4180,0.9999,USA/DC-CDC-LC0754549/2022,22.0,4.0,7
4180,0.9999,KEN/SS9891/2022,23.0,4.0,7
4203,0.9999,USA/PR-CDC-ASC210721593/2022,16.0,2.0,2
4203,0.9999,PRI/PR-UPRRP-5774/2022,18.0,2.0,2
4231,0.9999,BRA/LACENAL-270228619/2022,20.0,4.0,15
4231,0.9999,USA/NC-CDC-LC0566892/2022,20.0,4.0,15
4231,0.9999,USA/DE-CDC-STM-JVZS8QZXK/2022,25.0,4.0,15
4231,0.9999,BRA/LACENAL-270228629/2022,22.0,4.0,15
4231,0.9999,USA/NH-CDC-LC0637760/2022,20.0,4.0,15
4231,0.9999,USA/CA-CDC-LC0691726/2022,24.0,4.0,15
4231,0.9999,USA/MI-SH_MSU-E06_I_0380_20/2022,24.0,4.0,15
4231,0.9999,USA/ID-CDC-LC0749708/2022,21.0,4.0,15
4231,0.9999,USA/KY-CDC-LC0583018/2022,19.0,4.0,15
4231,0.9999,USA/NC-CDC-STM-A4ZTWJQYV/2022,19.0,4.0,15
4231,0.9999,USA/VA-CDC-QDX35823332/2022,20.0,4.0,15
4231,0.9999,USA/AZ-CDC-STM-WAFFNJPBY/2022,20.0,4.0,15
4231,0.9999,USA/NC-CDC-LC0627145/2022,21.0,4.0,15
4231,0.9999,USA/CT-CDC-LC0758197/2022,21.0,4.0,15
4231,0.9999,USA/MA-CDCBI-CRSP_VPZFF4SWUOYN7QMT/2022,22.0,4.0,15
4275,0.9999,BHR/22020096452_S90_L001/2022,16.0,4.0,2
4275,0.9999,USA/FL-BPHL-7706/2022,16.0,4.0,2
4279,0.9999,USA/TX-CDC-QDX36514669/2022,20.0,2.0,2
4279,0.9999,USA/IN-CDC-STM-Y4ZX3MBXS/2022,18.0,2.0,2
