strain	date	url	S1_mutations	country	host	mutational_fitness	genbank_accession	emerging_lineage	division	region	pango_lineage	recency	epiweek	current_frequency	clade_membership	author	accession	originating_lab	submitting_lab	logistic_growth	cazzo
Wuhan-Hu-1/2019	12/26/2019			China	Homo sapiens		MN908947		China	Asia	B	Older	201952		19A	Wu et al					cazzo
Wuhan/WH01/2019	12/26/2019			China	Homo sapiens	-0.01	LR757998		Hubei	Asia	B	Older	201952		19A	Hunter et al		"BGI, Institute of Microbiology, Chinese Academy of Sciences, Shandong First Medical University and General Hospital of Central Theater Command of People's Liberation Army of China"	Beijing Genome Institute		cazzo
NPL/61-TW/2020	1/13/2020			Nepal	Homo sapiens		MT072688		Nepal	Asia	B	Older	202003		19A	Bastola et al					cazzo
SWE/01/2020	2/7/2020			Sweden	Homo sapiens	-0.16	MT093571		Sweden	Europe	B	Older	202006		19A	Bengner et al					cazzo
AUS/VIC03/2020	1/25/2020			Australia	Homo sapiens	-0.15	MT450920		Victoria	Oceania	B	Older	202004		19A	Seemann et al A		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity		cazzo
HongKong/31_2801/2020	2/8/2020			Hong Kong	Homo sapiens	-0.15	MT232674		Hong Kong	Asia	B.43	Older	202006		19A	Leung et al					cazzo
FIN/1/2020	1/29/2020		1	Finland	Homo sapiens	0.01	MZ683495		Finland	Europe	B	Older	202005		19A	Jiang et al A					cazzo
OM065361	2/2/2020		1	China	Homo sapiens	0.01	OM065361		Anhui	Asia	B	Older	202006		19A	Chang et al					cazzo
CHN/Wuhan_IME-WH05/2019	12/30/2019			China	Homo sapiens		MT291830		Hubei	Asia	B	Older	202001		19A	Fan et al					cazzo
VNM/nCoV-19-02S/2020	1/22/2020			Vietnam	Homo sapiens	0	MT192773		Southeast Region	Asia	B	Older	202004		19A	Nguyen et al A					cazzo
HongKong/HKU-902b/2020	1/24/2020			Hong Kong	Homo sapiens		MT114413		Hong Kong	Asia	B	Older	202004		19A	To et al A					cazzo
USA/MO-QDX-2595/2020	3/15/2020			USA	Homo sapiens	-0.01	MW191380		Missouri	North America	B.23	Older	202012		19A	Rosenthal et al A		Quest Diagnostics	Quest Diagnostics		cazzo
USA/WI-CDC-03041142-001/2020	1/31/2020			USA	Homo sapiens	0	MT039887		Wisconsin	North America	B	Older	202005		19A	Zhang et al					cazzo
AUS/VIC14/2020	2/2/2020			Australia	Homo sapiens		MT450931		Victoria	Oceania	B	Older	202006		19A	Seemann et al B		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity		cazzo
Netherlands/Loon_op_zand_1363512/2020	2/29/2020			Netherlands	Homo sapiens	0.01	LR878361		North Brabant	Europe	B.11	Older	202009		19A	Fouchier et al			"ERASMUS MC, UNIVERISTY MEDICAL CENTER"		cazzo
CHN/HZ-62/2020	1/22/2020			China	Homo sapiens		MT253706		Zhejiang	Asia	B	Older	202004		19A	Liu et al					cazzo
